place_key,name,locality,address,city,district,pincode,maps_url,business_type,case_type,status,inspection_date,action_date,violations,summary,timeline,source_name,source_title,source_url,source_published_at,source_name_2,source_url_2,verification_status,notes
parsi-dairy-farm-marine-lines,Parsi Dairy Farm,Marine Lines,,Mumbai,Mumbai City,,https://www.google.com/maps/search/?api=1&query=Parsi+Dairy+Farm+Marine+Lines+Mumbai,dairy,licence_suspension,licence_suspended,2026-07-14,,poor_hygiene: fungal growth on storage and production area walls; improper_storage: raw material stored directly on floor next to fungus-affected walls; other: no protected Raw Milk Reception Dock,"The Indian Express reported that the Marine Lines-based Parsi Dairy Farm's FSSAI licence was suspended after an FDA inspection found fungal growth, raw material stored directly on the floor and no protected Raw Milk Reception Dock.",2026-07-14: Inspection | Licence suspended with immediate effect,The Indian Express,"‘Hygiene, safety lapses in production area’: FDA suspends licence of South Mumbai’s iconic 110-year-old Parsi Dairy Farm",https://indianexpress.com/article/cities/mumbai/hygiene-safety-lapses-in-production-area-fda-suspends-licence-of-south-mumbais-iconic-110-year-old-parsi-dairy-farm-10790060/,2026-07-17,,,reported,Exact suspension date not stated; inspection date explicitly reported.
bristol-bakery-mahim,Bristol Bakery,Mahim West,,Mumbai,Mumbai Suburban,,https://www.google.com/maps/search/?api=1&query=Bristol+Bakery+Mahim+West+Mumbai,bakery,licence_suspension,licence_suspended,,2026-07-25,"pest_infestation: cockroaches, flies and insects in kitchen; temperature_control: inaccurate temperature records; poor_hygiene: food prepared during painting work with inadequate cleaning and sanitisation; employee_medical_records: incomplete or missing medical fitness records","Hindustan Times reported that Maharashtra FDA suspended the licence of Bristol Bakery among five Mumbai bakeries. FDA-released video showed cockroaches in bread-making ovens and a freezer, and inspectors reported pest infestation and other hygiene lapses.",2026-07-25: Licence suspended,Hindustan Times,"FDA suspends licence of Jimmy Boy Mahim, 4 other bakeries",https://www.hindustantimes.com/cities/mumbai-news/fda-suspends-licence-of-jimmy-boy-mahim-4-other-bakeries-101784919403759.html,2026-07-25,,,reported,"Exact inspection date not stated. The article title references Jimmy Boy, but the body identifies Bristol Bakery as the suspended Mahim bakery."
anmol-bakery-koldongari,Anmol Bakery & Stores,Koldongari,Andheri East,Mumbai,Mumbai Suburban,,https://www.google.com/maps/search/?api=1&query=Anmol+Bakery+%26+Stores+Koldongari+Andheri+East+Mumbai,bakery,licence_suspension,licence_suspended,,2026-07-25,"food_safety_violation: FDA reported violations related to hygiene, food handling and licensing conditions","Hindustan Times reported that FDA suspended the licence of Anmol Bakery & Stores in Koldongari, Andheri East, as part of a five-bakery enforcement action.",2026-07-25: Licence suspended,Hindustan Times,"FDA suspends licence of Jimmy Boy Mahim, 4 other bakeries",https://www.hindustantimes.com/cities/mumbai-news/fda-suspends-licence-of-jimmy-boy-mahim-4-other-bakeries-101784919403759.html,2026-07-25,,,reported,Exact inspection date and detailed outlet-specific violations not stated. Map is approximate search.
new-maharashtra-bakery-chembur,New Maharashtra Bakery & Stores,Vashi Naka,Chembur,Mumbai,Mumbai Suburban,,https://www.google.com/maps/search/?api=1&query=New+Maharashtra+Bakery+%26+Stores+Vashi+Naka+Chembur+Mumbai,bakery,licence_suspension,licence_suspended,,2026-07-25,"food_safety_violation: FDA reported violations related to hygiene, food handling and licensing conditions","Hindustan Times reported that FDA suspended the licence of New Maharashtra Bakery & Stores at Vashi Naka, Chembur.",2026-07-25: Licence suspended,Hindustan Times,"FDA suspends licence of Jimmy Boy Mahim, 4 other bakeries",https://www.hindustantimes.com/cities/mumbai-news/fda-suspends-licence-of-jimmy-boy-mahim-4-other-bakeries-101784919403759.html,2026-07-25,,,reported,Exact inspection date and detailed outlet-specific violations not stated. Map is approximate search.
saba-bakery-goregaon,Saba Bakery & Stores,Aarey Road,Goregaon,Mumbai,Mumbai Suburban,,https://www.google.com/maps/search/?api=1&query=Saba+Bakery+%26+Stores+Aarey+Road+Goregaon+Mumbai,bakery,licence_suspension,licence_suspended,,2026-07-25,"food_safety_violation: FDA reported violations related to hygiene, food handling and licensing conditions","Hindustan Times reported that FDA suspended the licence of Saba Bakery & Stores on Aarey Road, Goregaon.",2026-07-25: Licence suspended,Hindustan Times,"FDA suspends licence of Jimmy Boy Mahim, 4 other bakeries",https://www.hindustantimes.com/cities/mumbai-news/fda-suspends-licence-of-jimmy-boy-mahim-4-other-bakeries-101784919403759.html,2026-07-25,,,reported,Exact inspection date and detailed outlet-specific violations not stated. Map is approximate search.
unnati-bakery-dahisar,Unnati Bakery,Laxman Tawde Road,Dahisar,Mumbai,Mumbai Suburban,,https://www.google.com/maps/search/?api=1&query=Unnati+Bakery+Laxman+Tawde+Road+Dahisar+Mumbai,bakery,licence_suspension,licence_suspended,,2026-07-25,"food_safety_violation: FDA reported violations related to hygiene, food handling and licensing conditions","Hindustan Times reported that FDA suspended the licence of Unnati Bakery on Laxman Tawde Road, Dahisar.",2026-07-25: Licence suspended,Hindustan Times,"FDA suspends licence of Jimmy Boy Mahim, 4 other bakeries",https://www.hindustantimes.com/cities/mumbai-news/fda-suspends-licence-of-jimmy-boy-mahim-4-other-bakeries-101784919403759.html,2026-07-25,,,reported,Exact inspection date and detailed outlet-specific violations not stated. Map is approximate search.
cricket-club-of-india-churchgate,The Cricket Club of India Ltd,Churchgate,,Mumbai,Mumbai City,,https://www.google.com/maps/search/?api=1&query=Cricket+Club+of+India+Churchgate+Mumbai,restaurant,licence_suspension,licence_suspended,2026-07-27,2026-07-28,"pest_infestation: live cockroaches and flies; expired_food: spoiled vegetables and expired food; poor_hygiene: dirt, grease, sludge and stagnant water; improper_storage: water leaking onto food in cold storage; other: clogged drains and inadequate food labelling","Hindustan Times reported that FDA inspectors found live cockroaches and flies, spoiled vegetables and expired food, poor waste disposal and other kitchen hygiene deficiencies during the July 27 inspection.",2026-07-27: Inspection | 2026-07-28: Licence suspended,Hindustan Times,"CCI, Willingdon, MIG among top Mumbai clubs to lose food licences over poor hygiene",https://www.hindustantimes.com/cities/mumbai-news/fda-suspends-food-licences-of-top-clubs-like-cci-willingdon-mig-101785265803743.html,2026-07-29,BusinessToday,https://www.businesstoday.in/amp/india/story/fda-suspends-food-licences-of-five-mumbai-clubs-over-major-hygiene-food-safety-violations-545824-2026-07-28,reported,
willingdon-sports-club-tardeo,The Willingdon Sports Club,Tardeo,,Mumbai,Mumbai City,,https://www.google.com/maps/search/?api=1&query=Willingdon+Sports+Club+Tardeo+Mumbai,restaurant,licence_suspension,licence_suspended,2026-07-27,2026-07-28,poor_hygiene: dirty floors and poorly maintained drainage; other: damaged ceilings; temperature_control: inadequate temperature monitoring; missing_records: outdated food testing records and no cleaning schedules,"Hindustan Times reported that FDA inspectors found poor kitchen hygiene, drainage and infrastructure issues, inadequate temperature monitoring and outdated food-testing records.",2026-07-27: Inspection | 2026-07-28: Licence suspended,Hindustan Times,"CCI, Willingdon, MIG among top Mumbai clubs to lose food licences over poor hygiene",https://www.hindustantimes.com/cities/mumbai-news/fda-suspends-food-licences-of-top-clubs-like-cci-willingdon-mig-101785265803743.html,2026-07-29,,,reported,
mig-cricket-club-bandra,MIG Cricket Club,Bandra East,,Mumbai,Mumbai Suburban,,https://www.google.com/maps/search/?api=1&query=MIG+Cricket+Club+Bandra+East+Mumbai,restaurant,licence_suspension,licence_suspended,2026-07-27,2026-07-28,pest_infestation: live cockroaches and spider webs; poor_hygiene: severe unsanitary conditions; unlicensed_operation: catering agency operating without valid food licence; improper_storage: food storage norms not followed; employee_medical_records: mandatory medical records absent,Hindustan Times reported that FDA found severe unsanitary conditions and insect infestation at the MIG Cricket Club kitchen. It also reported that the catering agency operating there lacked a valid food licence.,2026-07-27: Inspection | 2026-07-28: Licence suspended,Hindustan Times,"CCI, Willingdon, MIG among top Mumbai clubs to lose food licences over poor hygiene",https://www.hindustantimes.com/cities/mumbai-news/fda-suspends-food-licences-of-top-clubs-like-cci-willingdon-mig-101785265803743.html,2026-07-29,,,reported,
rk-juhu-gymkhana-juhu,RK Juhu Gymkhana,Juhu,,Mumbai,Mumbai Suburban,,https://www.google.com/maps/search/?api=1&query=RK+Juhu+Gymkhana+Mumbai,restaurant,licence_suspension,licence_suspended,2026-07-27,2026-07-28,"poor_hygiene: kitchen sinks in poor condition; other: food handlers not wearing caps, gloves or aprons","Hindustan Times reported that FDA inspectors found kitchen sinks in poor condition and food-handling personnel without caps, gloves or aprons.",2026-07-27: Inspection | 2026-07-28: Licence suspended,Hindustan Times,"CCI, Willingdon, MIG among top Mumbai clubs to lose food licences over poor hygiene",https://www.hindustantimes.com/cities/mumbai-news/fda-suspends-food-licences-of-top-clubs-like-cci-willingdon-mig-101785265803743.html,2026-07-29,,,reported,
aparna-juhu-gymkhana-juhu,The Aparna Juhu Gymkhana,Juhu,,Mumbai,Mumbai Suburban,,https://www.google.com/maps/search/?api=1&query=Aparna+Juhu+Gymkhana+Mumbai,restaurant,licence_suspension,licence_suspended,2026-07-27,2026-07-28,"poor_hygiene: rusted cooking equipment and insects; pest_infestation: flies in kitchen; other: equipment not sterilized; food handlers not wearing gloves, caps or aprons","Hindustan Times reported rusted cooking equipment, flies and hygiene lapses involving food handlers at Aparna Juhu Gymkhana.",2026-07-27: Inspection | 2026-07-28: Licence suspended,Hindustan Times,"CCI, Willingdon, MIG among top Mumbai clubs to lose food licences over poor hygiene",https://www.hindustantimes.com/cities/mumbai-news/fda-suspends-food-licences-of-top-clubs-like-cci-willingdon-mig-101785265803743.html,2026-07-29,,,reported,
goregaon-sports-club-malad,Goregaon Sports Club,Malad West,,Mumbai,Mumbai Suburban,,https://www.google.com/maps/search/?api=1&query=Goregaon+Sports+Club+Malad+West+Mumbai,restaurant,closure,other,2026-07-27,2026-07-28,unlicensed_operation: FDA reported food business operating without valid licence or registration,Hindustan Times reported that FDA directed the restaurant at Goregaon Sports Club to stop food operations after finding it was operating without a valid food licence or registration.,2026-07-27: Inspection | 2026-07-28: Stop-business notice,Hindustan Times,"CCI, Willingdon, MIG among top Mumbai clubs to lose food licences over poor hygiene",https://www.hindustantimes.com/cities/mumbai-news/fda-suspends-food-licences-of-top-clubs-like-cci-willingdon-mig-101785265803743.html,2026-07-29,,,reported,Status mapped to other because source reports a stop-business notice rather than confirmed sealing.
poornima-fort,Poornima Restaurant,Fort,Raja Bahadur Compound,Mumbai,Mumbai City,,https://www.google.com/maps/search/?api=1&query=Poornima+Restaurant+Raja+Bahadur+Compound+Fort+Mumbai,restaurant,licence_suspension,licence_suspended,2026-07-23,2026-07-28,"other: fungal growth on stored raw vegetables; improper_storage: raw, contaminated and cooked food stored together; other: non-food-grade plastic drums; temperature_control: refrigeration doors not closing properly; pest_infestation: fish infestation and lack of cockroach traps; waste_management: stagnant sewage and unclean drains; poor_hygiene: peeling paint and rust",The Indian Express reported that FDA suspended Poornima Restaurant's FSSAI licence after an inspection found fungal growth on vegetables and bananas and multiple kitchen hygiene and storage violations.,2026-07-23: Inspection | 2026-07-28: Licence suspended,The Indian Express,FDA suspends license of Mumbai’s six-decade-old Udupi eatery Poornima Restaurant,https://indianexpress.com/article/cities/mumbai/fda-suspends-license-mumbais-six-decade-old-udupi-eatery-poornima-restaurant-10806651/,2026-07-28,,,reported,A later Bombay High Court order treated the suspension as an improvement notice; this row records the FDA action reported on July 28.
kamal-caterers-bmc-headquarters,Kamal Caterers Pvt Ltd,BMC Annexe, BMC Headquarters,Mumbai,Mumbai City,,https://www.google.com/maps/search/?api=1&query=Kamal+Caterers+BMC+Headquarters+Mumbai,other,licence_suspension,licence_suspended,2026-07-22,2026-07-22,"pest_infestation: fly infestation in kitchen; poor_hygiene: poor hygiene in food handling areas; temperature_control: faulty temperature control; missing_records: hygiene logs, food safety audit records and statutory documents absent; employee_medical_records: medical fitness and FoSTaC training certificates missing; other: equipment maintenance issues",Hindustan Times reported that FDA suspended the Food Registration Certificate of Kamal Caterers after a reinspection found all 31 deficiencies identified earlier remained unrectified.,2026-06-08: Inspection | 2026-06-09: Improvement notice | 2026-07-22: Reinspection | 2026-07-22: Registration suspended,Hindustan Times,FDA suspends BMC HQ canteen licence over food safety lapses,https://www.hindustantimes.com/cities/mumbai-news/fda-suspends-bmc-hq-canteen-licence-over-food-safety-lapses-101784832106158.html,2026-07-24,Mid-Day,https://www.mid-day.com/mumbai/mumbai-news/article/mumbai-fda-raids-fda-raids-bmc-headquarters-canteen-suspends-its-registration-over-food-safety-violations-23641262,reported,Source says suspension took effect July 22; premises were reported sealed in photo caption.
stany-caterers-kem-parel,M/s Stany Caterers,Parel,Old Nurses Home building KEM Hospital,Mumbai,Mumbai City,,https://www.google.com/maps/search/?api=1&query=Stany+Caterers+KEM+Hospital+Parel+Mumbai,other,licence_suspension,licence_suspended,2026-07-15,2026-07-18,poor_hygiene: unhygienic conditions; food_safety_violation: violations of Food Safety and Standards Act and related regulations,PTI reported that Maharashtra FDA suspended the licence of the KEM Hospital canteen operated by M/s Stany Caterers after a July 15 inspection found unhygienic conditions and food-safety violations.,2026-07-15: Inspection | 2026-07-18: Licence suspension reported,Hindustan Times,FDA suspends Mumbai's KEM Hospital canteen licence over food safety lapses,https://www.hindustantimes.com/india-news/fda-suspends-mumbai-kem-hospital-canteen-licence-over-food-safety-lapses-101784359130418.html,2026-07-18,Mid-Day,https://www.mid-day.com/mumbai/mumbai-news/article/mumbai-fda-suspends-kem-hospital-canteen-licence-over-hygiene-violations-halts-operations-23640402,reported,
kondhwa-cafe-salunke-vihar,Cafe on Salunke Vihar Road,Kondhwa Khurd,Salunke Vihar Road,Pune,Pune,,https://www.google.com/maps/search/?api=1&query=Cafe+Salunke+Vihar+Road+Kondhwa+Khurd+Pune,restaurant,licence_suspension,licence_suspended,2026-07-09,2026-07-11,expired_food: expired milk products and other food items found; poor_hygiene: hygiene standards violations; food_safety_violation: other mandatory food-safety requirements violated,Hindustan Times reported that FDA inspected a cafe on Salunke Vihar Road after a complaint and found expired milk products and other expired food items. The food licence was suspended and the cafe was ordered to remain closed.,2026-07-09: Inspection | 2026-07-11: Licence suspended and closure ordered,Hindustan Times,FDA suspends Kondhwa cafe’s licence for allegedly serving expired food products,https://www.hindustantimes.com/cities/pune-news/fda-suspends-kondhwa-cafe-s-licence-for-allegedly-serving-expired-food-products-101783707352253.html,2026-07-11,,,reported,Establishment name is not stated in the source; retained as clearly identified outlet description.
guru-nanak-dairy-pune,Guru Nanak Dairy,Wadgaon Sheri,,Pune,Pune,,https://www.google.com/maps/search/?api=1&query=Guru+Nanak+Dairy+Wadgaon+Sheri+Pune,retailer,licence_suspension,licence_suspended,,2026-06-18,food_safety_violation: FDA suspended retail licence following suspected food-poisoning complaint,The Indian Express reported that FDA suspended Guru Nanak Dairy's retail licence after three Pune families allegedly fell ill after consuming malai pedas purchased from the establishment. The manufacturing unit was inspected and further action was stated to depend on laboratory findings.,Licence suspended by 2026-06-18; manufacturing unit inspected; laboratory findings pending,The Indian Express,FDA suspends Guru Nanak Dairy licence after suspected food-poisoning,https://indianexpress.com/article/cities/pune/fda-suspends-guru-nanak-dairy-licence-after-suspected-food-poisoning-10745015/,2026-06-18,,,reported,Exact inspection and suspension dates are not stated.
sppu-refectory-mess-pune,SPPU Refectory Mess,Shivajinagar,Savitribai Phule Pune University,Pune,Pune,,https://www.google.com/maps/search/?api=1&query=SPPU+Refectory+Mess+Savitribai+Phule+Pune+University,other,licence_suspension,licence_suspended,2026-06-16,2026-06-17,"poor_hygiene: poor personal hygiene; employee_medical_records: no medical fitness certificates; water_quality: no water-testing records; pest_infestation: no pest-control reports; other: no aprons, gloves or headgear; food stored in uncovered vessels; rusted metallic vessels",The Indian Express reported that FDA inspected the SPPU Refectory Mess on June 16 and suspended its licence on June 17 after finding multiple food-safety and hygiene violations.,2026-06-16: Inspection | 2026-06-17: Licence suspended,The Indian Express,FDA suspends SPPU mess licence after inspection finds severe violations,https://indianexpress.com/article/cities/pune/fda-suspends-sppu-mess-licence-after-inspection-finds-severe-violations-10745013/,2026-06-18,,,reported,
hotel-grand-purandar-sinhagad,Hotel Grand Purandar,Sinhagad Road,,Pune,Pune,,https://www.google.com/maps/search/?api=1&query=Hotel+Grand+Purandar+Sinhagad+Road+Pune,hotel,licence_suspension,licence_suspended,,2026-07-04,poor_hygiene: FDA reported severe unhygienic conditions; expired_food: expired stock reported; food_safety_violation: food safety norms violated,"Times of India reported that FDA suspended the licence of Hotel Grand Purandar after inspections during the July 1-3 enforcement drive found severe unhygienic conditions, food-safety violations and expired stock.",2026-07-01 to 2026-07-03: Inspection drive | 2026-07-04: Licence suspension reported,Times of India,Pune FDA suspends licences of 10 eateries in hygiene & safety crackdown across three districts,https://timesofindia.indiatimes.com/city/pune/pune-fda-suspends-licences-of-10-eateries-in-hygiene-safety-crackdown-across-three-districts/articleshow/132170089.cms,2026-07-04,,,reported,Exact outlet inspection date not stated.
crown-bakers-sinhagad,Crown Bakers,Sinhagad Road,,Pune,Pune,,https://www.google.com/maps/search/?api=1&query=Crown+Bakers+Sinhagad+Road+Pune,bakery,licence_suspension,licence_suspended,,2026-07-04,poor_hygiene: FDA reported severe unhygienic conditions; expired_food: expired stock reported; food_safety_violation: food safety norms violated,Times of India reported that FDA suspended the licence of Crown Bakers during the July 1-3 Pune division enforcement drive.,2026-07-01 to 2026-07-03: Inspection drive | 2026-07-04: Licence suspension reported,Times of India,Pune FDA suspends licences of 10 eateries in hygiene & safety crackdown across three districts,https://timesofindia.indiatimes.com/city/pune/pune-fda-suspends-licences-of-10-eateries-in-hygiene-safety-crackdown-across-three-districts/articleshow/132170089.cms,2026-07-04,,,reported,Exact outlet inspection date not stated.
